flight,deptime,depoff,arrtime,arroff,origin,destination
AA0001,755,-400,1038,-700,EDB,TFB
AA0002,1405,-700,2159,-400,TFB,EDB
AA0003,1740,-400,2025,-700,EDB,TFB
AA0004,840,-700,1640,-400,TFB,EDB
AA0005,910,-400,1202,-700,EDB,MBY
AA0006,1305,-700,2059,-400,MBY,EDB
AA0007,1820,-400,2130,-700,FXS,TFB
AA0008,905,-700,1718,-400,TFB,FXS
AA0011,725,-400,1022,-700,FXS,TFB
AA0012,900,-700,1725,-400,TFB,CPT
AA0014,1515,-700,2322,-400,TFB,FXS
AA0015,1825,-400,2137,-700,CPT,TFB
AA0016,2215,-700,655,-400,TFB,NJB
AA0017,810,-400,1144,-700,NJB,TFB
AA0018,845,-700,1714,-400,TFB,NDP
AA0019,1815,-400,2135,-700,NDP,TFB
AA0020,840,-700,1438,-500,TFB,PSE
AA0021,800,-500,1030,-700,PSE,TFB
AA0022,1245,-700,1843,-500,TFB,PSE
AA0023,1535,-500,1802,-700,PSE,TFB
AA0024,2220,-700,645,-400,TFB,CPT
AA0025,800,-400,1111,-700,CPT,TFB
AA0026,1800,-700,2349,-500,TFB,PSE
AA0029,1940,-500,2206,-700,PSE,TFB
AA0030,730,-700,1550,-400,QEY,CPT
AA0035,1650,-400,2011,-700,CPT,QEY
AA0036,705,-700,1222,-500,TFB,NTQ
AA0037,1315,-500,1452,-700,NTQ,TFB
AA0038,1240,-700,1759,-500,TFB,NTQ
AA0039,1850,-500,2026,-700,NTQ,TFB
AA0040,1653,-800,1747,-800,BER,BOD
AA0041,640,-800,753,-800,BOD,CFU
AA0042,844,-800,953,-800,CFU,BOD
AA0043,1222,-800,1335,-800,BOD,CFU
AA0044,1426,-800,1536,-800,CFU,BOD
AA0045,1842,-800,1954,-800,BOD,CFU
AA0046,2044,-800,2150,-800,CFU,BOD
AA0047,630,-800,728,-800,BOD,BER
AA0048,822,-800,913,-800,BER,BOD
AA0049,1507,-800,1604,-800,BOD,BER
AA0051,1810,-800,1937,-800,GBJ,CSX
AA0051,1635,-800,1730,-800,BOD,GBJ
AA0052,2220,-800,2313,-800,GBJ,BOD
AA0052,2022,-800,2140,-800,CSX,GBJ
AA0053,1437,-800,1620,-800,BOD,TDD
AA0054,1705,-800,1847,-800,TDD,BOD
AA0055,1114,-800,1306,-800,CSX,BOD
AA0055,745,-800,855,-800,GBJ,TDD
AA0055,940,-800,1029,-800,TDD,CSX
AA0055,605,-800,704,-800,BOD,GBJ
AA0056,1520,-800,1842,-700,KOV,TFB
AA0059,1300,-700,1425,-800,TFB,KOV
AA0060,900,-800,1153,-700,LUO,TFB
AA0060,715,-800,813,-800,KOV,LUO
AA0061,1018,-800,1115,-800,KOV,ZBL
AA0061,755,-700,925,-800,TFB,KOV
AA0061,1157,-800,1243,-800,ZBL,DEW
AA0061,1325,-800,1410,-800,DEW,BOD
AA0062,805,-800,948,-800,BOD,KOV
AA0062,600,-800,701,-800,GBJ,BOD
AA0062,1030,-800,1110,-800,KOV,TJU
AA0062,1327,-800,1620,-700,LUO,TFB
AA0062,1154,-800,1246,-800,TJU,LUO
AA0064,1357,-800,1443,-800,KOV,QTH
AA0064,1750,-800,2043,-700,LUO,TFB
AA0064,1523,-800,1547,-800,QTH,XSH
AA0064,1630,-800,1706,-800,XSH,LUO
AA0064,1130,-800,1312,-800,BOD,KOV
AA0065,1245,-800,1427,-800,KOV,BOD
AA0065,847,-800,928,-800,LUO,XSH
AA0065,1120,-800,1158,-800,QTH,KOV
AA0065,700,-700,802,-800,TFB,LUO
AA0065,1013,-800,1036,-800,XSH,QTH
AA0066,1528,-800,1620,-800,BOD,DEW
AA0066,1700,-800,1750,-800,DEW,ZBL
AA0066,2000,-800,2319,-700,KOV,TFB
AA0066,1830,-800,1915,-800,ZBL,KOV
AA0067,1642,-800,1733,-800,LUO,TJU
AA0067,1500,-700,1558,-800,TFB,LUO
AA0067,1815,-800,1853,-800,TJU,KOV
AA0067,1945,-800,2123,-800,KOV,BOD
AA0069,1850,-700,1949,-800,TFB,LUO
AA0069,2022,-800,2118,-800,LUO,KOV
AA0070,1950,-800,2134,-800,BOD,KOV
AA0070,2215,-800,2254,-800,KOV,TJU
AA0072,800,-800,1118,-700,KOV,TFB
AA0073,600,-800,641,-800,TJU,KOV
AA0073,730,-800,909,-800,KOV,BOD
AA0075,1105,-700,1230,-800,TFB,KOV
AA0076,1325,-800,1645,-700,KOV,TFB
AA0079,2015,-700,2144,-800,TFB,KOV
AA0080,1030,-800,1455,-700,BOD,TFB
AA0081,600,-700,831,-800,TFB,BOD
AA0082,930,-800,1354,-700,BOD,TFB
AA0083,800,-700,1030,-800,TFB,BOD
AA0084,1130,-800,1550,-700,BOD,TFB
AA0086,1700,-800,2125,-700,BOD,TFB
AA0087,1000,-700,1222,-800,TFB,BOD
AA0089,1100,-700,1330,-800,TFB,BOD
AA0090,1530,-800,1954,-700,BOD,TFB
AA0092,1430,-800,1850,-700,BOD,TFB
AA0093,1445,-700,1720,-800,TFB,BOD
AA0094,1810,-800,2235,-700,BOD,TFB
AA0095,1730,-700,2001,-800,TFB,BOD
AA0096,1000,-800,1425,-700,BOD,TFB
AA0097,1205,-700,1434,-800,TFB,BOD
AA0098,1630,-800,2052,-700,BOD,TFB
AA0099,1315,-700,1542,-800,TFB,BOD
AA0101,1545,-700,1817,-800,TFB,BOD
AA0103,2125,-700,2356,-800,TFB,BOD
AA0104,1912,-800,2329,-700,BOD,TFB
AA0106,2120,-800,142,-700,BOD,TFB
AA0107,2015,-700,2245,-800,TFB,BOD
AA0108,30,-800,459,-700,BOD,TFB
AA0109,1855,-700,2123,-800,TFB,BOD
AA0111,2055,-700,2329,-800,TFB,BOD
AA0112,130,-800,555,-700,BOD,TFB
AA0114,230,-800,650,-700,BOD,TFB
AA0117,700,-700,935,-800,TFB,BOD
AA0119,1630,-700,1901,-800,TFB,BOD
AA0120,720,-800,1145,-700,BOD,TFB
AA0121,2345,-700,217,-800,TFB,BOD
AA0122,1720,-800,2155,-700,GBJ,TFB
AA0123,1345,-700,1629,-800,TFB,GBJ
AA0124,845,-800,1320,-700,GBJ,TFB
AA0125,2255,-700,140,-800,TFB,GBJ
AA0126,615,-800,1053,-700,GBJ,TFB
AA0127,2140,-700,25,-800,TFB,GBJ
AA0128,130,-800,600,-700,GBJ,TFB
AA0129,1950,-700,2237,-800,TFB,GBJ
AA0132,55,-800,538,-700,BOD,QEY
AA0134,700,-800,1143,-700,BOD,QEY
AA0135,1235,-700,1515,-800,QEY,BOD
AA0136,1155,-800,1635,-700,BOD,QEY
AA0137,1740,-700,2019,-800,QEY,BOD
AA0138,2315,-800,825,-500,BOD,PSE
AA0139,940,-500,1311,-800,PSE,BOD
AA0143,2125,-700,5,-800,QEY,BOD
AA0151,600,-800,734,-800,BOD,PUA
AA0151,951,-800,1115,-800,PNF,BOD
AA0151,823,-800,905,-800,PUA,PNF
AA0152,1316,-800,1357,-800,PNF,PUA
AA0152,1446,-800,1614,-800,PUA,BOD
AA0152,1055,-800,1228,-800,BOD,PNF
AA0153,1720,-800,1851,-800,BOD,PUA
AA0153,2106,-800,2230,-800,PNF,BOD
AA0153,1936,-800,2019,-800,PUA,PNF
AA0181,700,-800,759,-800,BOD,GBJ
AA0182,800,-800,901,-800,GBJ,BOD
AA0183,1000,-800,1056,-800,BOD,GBJ
AA0184,1140,-800,1240,-800,GBJ,BOD
AA0187,1355,-800,1451,-800,BOD,GBJ
AA0188,1535,-800,1635,-800,GBJ,BOD
AA0189,1520,-800,1618,-800,BOD,GBJ
AA0190,1700,-800,1800,-800,GBJ,BOD
AA0191,1900,-800,1957,-800,BOD,GBJ
AA0192,2040,-800,2137,-800,GBJ,BOD
AA0195,2310,-800,6,-800,BOD,GBJ
AA0211,1503,-600,1655,-700,NAU,MBY
AA0212,1037,-700,1408,-600,MBY,NAU
AA0220,1047,-700,1620,-500,TGP,QWS
AA0220,725,-700,936,-700,TFB,TGP
AA0223,745,-500,945,-700,NFY,MBY
AA0225,1605,-600,1817,-700,TKE,TGP
AA0225,2030,-700,2210,-700,TGP,QEY
AA0226,1940,-700,2140,-700,TFB,TKD
AA0226,2255,-700,428,-500,TKD,HEM
AA0227,925,-700,1130,-700,TKD,TFB
AA0227,600,-500,755,-700,HEM,TKD
AA0231,2040,-700,2235,-700,TGP,TFB
AA0231,1715,-500,1906,-700,QWS,TGP
AA0232,1020,-700,1326,-600,TBO,TKE
AA0232,645,-700,923,-700,TFB,TBO
AA0233,1420,-600,1529,-700,TKE,TBO
AA0233,1705,-700,1950,-700,TBO,TFB
AA0234,1104,-700,1513,-600,TGP,TKE
AA0234,805,-700,954,-700,QEY,TGP
AA0242,155,-700,655,-500,MBY,HEM
AA0243,805,-500,930,-700,HEM,MBY
AA0244,700,-700,937,-700,TFB,MBY
AA0244,1037,-700,1604,-500,MBY,NFY
AA0245,1704,-500,1908,-700,NFY,MBY
AA0245,2110,-700,2350,-700,MBY,TFB
AA0248,1145,-700,1650,-500,MBY,HEM
AA0249,1755,-500,1922,-700,HEM,MBY
AA0250,1055,-700,1411,-600,MBY,TKE
AA0251,1505,-600,1639,-700,TKE,MBY
