,feature,label
0,G_0_0,-0.0
1,G_0_1,-0.0
2,G_0_2,-0.0
3,G_0_3,1.0
4,G_0_4,-0.0
5,G_0_5,-0.0
6,G_0_6,-0.0
7,G_0_7,0.0
8,G_0_8,-0.0
9,G_1_0,0.0
10,G_1_1,0.0
11,G_1_2,0.0
12,G_1_3,0.0
13,G_1_4,-0.0
14,G_1_5,-0.0
15,G_1_6,0.0
16,G_1_7,0.0
17,G_1_8,-0.0
18,G_2_0,0.0
19,G_2_1,0.0
20,G_2_2,0.0
21,G_2_3,0.0
22,G_2_4,-0.0
23,G_2_5,-0.0
24,G_2_6,0.0
25,G_2_7,1.0
26,G_2_8,0.0
27,G_3_0,-0.0
28,G_3_1,-0.0
29,G_3_2,-0.0
30,G_3_3,-0.0
31,G_3_4,-0.0
32,G_3_5,-0.0
33,G_3_6,-0.0
34,G_3_7,-0.0
35,G_3_8,-0.0
36,G_4_0,-0.0
37,G_4_1,-0.0
38,G_4_2,-0.0
39,G_4_3,-0.0
40,G_4_4,-0.0
41,G_4_5,-0.0
42,G_4_6,-0.0
43,G_4_7,-0.0
44,G_4_8,-0.0
45,G_5_0,-0.0
46,G_5_1,-0.0
47,G_5_2,-0.0
48,G_5_3,1.0
49,G_5_4,-0.0
50,G_5_5,-0.0
51,G_5_6,-0.0
52,G_5_7,0.0
53,G_5_8,-0.0
54,G_6_0,0.0
55,G_6_1,0.0
56,G_6_2,-0.0
57,G_6_3,0.0
58,G_6_4,-0.0
59,G_6_5,-0.0
60,G_6_6,-0.0
61,G_6_7,0.0
62,G_6_8,-0.0
63,G_7_0,0.0
64,G_7_1,0.0
65,G_7_2,0.0
66,G_7_3,0.0
67,G_7_4,0.0
68,G_7_5,1.0
69,G_7_6,0.0
70,G_7_7,0.0
71,G_7_8,0.0
72,G_8_0,0.0
73,G_8_1,0.0
74,G_8_2,2.0
75,G_8_3,4.0
76,G_8_4,1.0
77,G_8_5,5.0
78,G_8_6,0.0
79,G_8_7,1.0
80,G_8_8,0.0
81,G_9_0,-0.0
82,G_9_1,-0.0
83,G_9_2,2.0
84,G_9_3,4.0
85,G_9_4,1.0
86,G_9_5,4.0
87,G_9_6,0.0
88,G_9_7,1.0
89,G_9_8,-0.0
90,G_10_0,-0.0
91,G_10_1,-0.0
92,G_10_2,2.0
93,G_10_3,5.0
94,G_10_4,1.0
95,G_10_5,4.0
96,G_10_6,0.0
97,G_10_7,1.0
98,G_10_8,-0.0
99,G_11_0,0.0
100,G_11_1,0.0
101,G_11_2,2.0
102,G_11_3,5.0
103,G_11_4,1.0
104,G_11_5,3.0
105,G_11_6,0.0
106,G_11_7,1.0
107,G_11_8,0.0
108,G_12_0,0.0
109,G_12_1,0.0
110,G_12_2,2.0
111,G_12_3,4.0
112,G_12_4,1.0
113,G_12_5,3.0
114,G_12_6,0.0
115,G_12_7,1.0
116,G_12_8,0.0
117,G_13_0,0.0
118,G_13_1,0.0
119,G_13_2,2.0
120,G_13_3,5.0
121,G_13_4,1.0
122,G_13_5,3.0
123,G_13_6,0.0
124,G_13_7,1.0
125,G_13_8,0.0
126,G_14_0,-0.0
127,G_14_1,-0.0
128,G_14_2,2.0
129,G_14_3,4.0
130,G_14_4,1.0
131,G_14_5,3.0
132,G_14_6,0.0
133,G_14_7,1.0
134,G_14_8,0.0
135,G_15_0,-0.0
136,G_15_1,-0.0
137,G_15_2,2.0
138,G_15_3,5.0
139,G_15_4,1.0
140,G_15_5,3.0
141,G_15_6,0.0
142,G_15_7,1.0
143,G_15_8,0.0
144,G_16_0,0.0
145,G_16_1,0.0
146,G_16_2,2.0
147,G_16_3,4.0
148,G_16_4,1.0
149,G_16_5,3.0
150,G_16_6,0.0
151,G_16_7,1.0
152,G_16_8,0.0
153,G_17_0,0.0
154,G_17_1,0.0
155,G_17_2,2.0
156,G_17_3,3.0
157,G_17_4,1.0
158,G_17_5,3.0
159,G_17_6,0.0
160,G_17_7,1.0
161,G_17_8,0.0
162,G_18_0,0.0
163,G_18_1,0.0
164,G_18_2,2.0
165,G_18_3,3.0
166,G_18_4,1.0
167,G_18_5,2.0
168,G_18_6,0.0
169,G_18_7,1.0
170,G_18_8,0.0
171,G_19_0,0.0
172,G_19_1,0.0
173,G_19_2,2.0
174,G_19_3,2.0
175,G_19_4,1.0
176,G_19_5,2.0
177,G_19_6,0.0
178,G_19_7,1.0
179,G_19_8,0.0
180,G_20_0,0.0
181,G_20_1,0.0
182,G_20_2,2.0
183,G_20_3,1.0
184,G_20_4,1.0
185,G_20_5,2.0
186,G_20_6,0.0
187,G_20_7,1.0
188,G_20_8,0.0
189,G_21_0,0.0
190,G_21_1,0.0
191,G_21_2,2.0
192,G_21_3,1.0
193,G_21_4,1.0
194,G_21_5,1.0
195,G_21_6,0.0
196,G_21_7,1.0
197,G_21_8,0.0
198,G_22_0,0.0
199,G_22_1,0.0
200,G_22_2,2.0
201,G_22_3,0.0
202,G_22_4,1.0
203,G_22_5,1.0
204,G_22_6,0.0
205,G_22_7,1.0
206,G_22_8,0.0
207,G_23_0,0.0
208,G_23_1,0.0
209,G_23_2,2.0
210,G_23_3,0.0
211,G_23_4,1.0
212,G_23_5,0.0
213,G_23_6,0.0
214,G_23_7,1.0
215,G_23_8,0.0
216,G_24_0,0.0
217,G_24_1,0.0
218,G_24_2,2.0
219,G_24_3,0.0
220,G_24_4,1.0
221,G_24_5,1.0
222,G_24_6,0.0
223,G_24_7,1.0
224,G_24_8,0.0
225,G_25_0,0.0
226,G_25_1,0.0
227,G_25_2,2.0
228,G_25_3,0.0
229,G_25_4,0.0
230,G_25_5,1.0
231,G_25_6,0.0
232,G_25_7,1.0
233,G_25_8,0.0
234,G_26_0,0.0
235,G_26_1,0.0
236,G_26_2,2.0
237,G_26_3,0.0
238,G_26_4,-0.0
239,G_26_5,-0.0
240,G_26_6,0.0
241,G_26_7,1.0
242,G_26_8,-0.0
243,G_27_0,0.0
244,G_27_1,0.0
245,G_27_2,2.0
246,G_27_3,0.0
247,G_27_4,-0.0
248,G_27_5,1.0
249,G_27_6,0.0
250,G_27_7,1.0
251,G_27_8,-0.0
252,G_28_0,0.0
253,G_28_1,0.0
254,G_28_2,2.0
255,G_28_3,0.0
256,G_28_4,0.0
257,G_28_5,2.0
258,G_28_6,0.0
259,G_28_7,1.0
260,G_28_8,-0.0
261,G_29_0,0.0
262,G_29_1,0.0
263,G_29_2,2.0
264,G_29_3,1.0
265,G_29_4,0.0
266,G_29_5,2.0
267,G_29_6,0.0
268,G_29_7,1.0
269,G_29_8,-0.0
270,G_30_0,0.0
271,G_30_1,0.0
272,G_30_2,2.0
273,G_30_3,2.0
274,G_30_4,0.0
275,G_30_5,2.0
276,G_30_6,0.0
277,G_30_7,1.0
278,G_30_8,0.0
279,G_31_0,0.0
280,G_31_1,0.0
281,G_31_2,2.0
282,G_31_3,1.0
283,G_31_4,0.0
284,G_31_5,2.0
285,G_31_6,0.0
286,G_31_7,1.0
287,G_31_8,0.0
288,G_32_0,-0.0
289,G_32_1,-0.0
290,G_32_2,2.0
