B,G,H,K,L,M,Q,S,T,V,Y
8.03,4.43,8.96,10.46,70.5,11.51,6.54,3.37,12.67,32.38,66.45
8.91,3.68,19.77,7.47,63.93,7.83,11.98,1.21,0.83,47.8,24.2
4.33,5.63,17.01,13.79,15.31,8.24,28.76,0.7,2.97,21.98,27.33
51.79,3.37,3.99,3.37,31.32,13.29,12.6,22.43,3.37,17.51,82.94
0.03,59.57,11.41,11.52,13.69,0.69,11.01,0,35.34,46.76,7.49
0,53.44,327.73,27.53,957.73,3.19,6.79,0.33,23.31,40.91,113.95
3.22,37.19,2.92,17.54,8.79,0,7.78,1.02,26.69,36.83,2.76
11.41,73.64,8.6,26.24,11.71,2.89,15.54,0.02,22.47,45.86,23.8
9.15,17.74,3.96,11.05,18.41,4.98,6.03,3.06,49.46,34.89,5.17
14.25,3.86,8.75,52.87,44.92,15.86,15.15,0.3,3.89,58.86,16.88
7.12,7.55,2.88,7.64,16.8,0.25,0.81,0.25,48.71,8.32,4.04
2.62,47.8,4.33,40.98,6.87,9.85,1.95,0,44.31,37.56,9.09
1.25,29.9,2.33,37.86,7.71,0.77,2.94,3.99,50.69,7.31,2.22
21.75,8.92,23.08,26.59,33.96,7.98,26.07,6.08,25.86,19.45,10.71
1.73,55.19,12.77,50.04,19.77,18.14,6.04,3.73,2.68,2.76,22.61
0.72,50.1,8.33,28.89,8.82,13.08,11.91,3.38,3.6,0.95,15.88
3.47,15.21,11.65,83.43,52.21,8.93,17.39,0.8,15.82,79.67,12.77
3.31,66.58,17.69,23.17,59.02,7.37,6.23,0.24,22.09,67.91,10.63
3.68,33.65,6.89,49.55,15.97,1.66,15.44,0.28,16.61,44.46,7.94
4.53,7.99,12.64,40.45,43.94,11.74,27.79,3.76,9.41,75.33,8.72
0.97,8.09,0.85,5.23,0.98,4.65,0.31,5.13,62.87,10,2.21
1.95,56.87,9.67,37.13,36.86,7.65,2.75,0,37.16,7.68,12.27
3.92,14.41,0.32,24.72,5.27,1.35,9.19,0.28,25.25,11.37,3.13
