1,2,3,4,5,6,7,8,9,10,11
384,153,317,173,229,356,121,437,146,199,271
390,185,336,187,239,358,160,447,159,213,273
384,153,317,173,229,356,121,437,146,199,271
390,185,336,187,239,358,160,447,159,213,273
384,153,288,173,229,334,121,437,132,199,271
379,154,288,188,250,335,181,471,131,207,393
373,166,301,193,237,340,35,430,142,204,68
385,160,298,187,238,338,120,470,145,205,249
373,166,301,193,237,340,35,430,142,204,68
415,153,300,177,244,351,146,440,135,209,277
385,160,298,187,238,338,120,470,145,205,249
409,156,292,179,241,349,122,128,133,211,257
407,165,293,183,218,315,115,454,168,202,213
310,172,285,174,219,249,95,471,132,196,13
392,179,307,198,241,341,144,438,157,220,257
380,189,317,199,240,354,41,347,162,221,87
361,136,270,163,203,309,159,376,120,169,244
348,138,245,162,194,289,99,295,112,168,209
361,136,270,163,203,309,159,376,120,169,244
348,138,245,162,194,289,99,295,112,168,209
415,153,300,177,244,351,146,440,135,209,277
409,156,292,179,241,349,122,128,133,211,257
361,136,270,163,203,309,159,376,120,169,244
348,138,245,162,194,289,99,295,112,168,209
402,158,292,181,247,355,164,461,135,214,288
409,156,292,179,241,349,122,128,133,211,257
373,143,297,152,179,289,159,371,101,184,235
316,145,302,160,183,279,64,377,103,178,152
373,143,297,152,179,289,159,371,101,184,235
316,145,302,160,183,279,64,377,103,178,152
230,100,105,94,145,209,40,45,98,127,184
188,134,223,117,175,245,116,58,120,67,252
191,138,223,142,180,243,136,115,121,61,252
188,134,223,117,175,245,116,58,120,67,252
191,138,223,142,180,243,136,115,121,61,252
188,134,223,117,175,245,116,58,120,67,252
191,138,223,142,180,243,143,115,121,61,252
240,94,89,104,134,213,67,75,97,129,190
230,100,105,94,145,209,40,45,98,127,184
240,94,89,104,134,213,67,75,97,129,190
148,153,248,143,213,264,92,350.663,125,200,252
130,94,187,125,135,138,141,149,86,122,183
128,92,183,123,134,133,138,151,85,117,182
302.477,166,259,158,222,271,128,350.663,124,201,278
167,128.839,153,443,417,167,202.131,349,112.636,141,385
194,128.839,203,141.86,267.717,164,3,342,112.636,77,388
161,166,259,149,222,271,103,117,124,190,278
285,111.914,563,127.684,150.004,205.027,185.867,408,79.1372,140.704,296
148,107.046,182,141.012,143,207,97,275.775,99.5398,128.092,214
130,94,187,125,135,138,141,149,86,122,183
256,146,248,150,172,298,125,364,144,175,312
264,147,246,154,172,304,203,369,147,182,312
367,143,279,143,200,204,56,225,130,162,344
103,75,144,105,111,92,109,222.795,65,107,151
194.853,97,158,100,112,173,114,271.506,96,68,169
264,147,246,154,172,176,111,224,147,158,300
209.559,113.343,168,149.307,130,182,60,291.997,105.395,135.627,174
80,86,125,115,96,190,4,39,87,113,181
127,111,190,53,158,217,6,94,98,91,213
128,92,183,123,134,133,134,151,85,117,182
84,80,135,91,105,72,116,128.069,66,93,141
367,143,279,143,200,204,56,225,130,162,344
110,114,164,152,132,176,140,255.284,100,121,184
120.711,75,144,105,111,118,109,168.197,65,107,151
367,143,279,143,200,204,123,225,130,162,344
31.8628,76,125,22.7016,24.3409,28.2343,110,44.3972,16.025,88,129
82.108,75,140,58.5002,105,45,116,114.408,41.2952,97,147
160,111,216,120,175,232,6,522,107,148,227
178,113,216,120,172,235,22,364,108,150,232
72,80,142,58.5002,106,90,122,114.408,41.2952,93,149
83,72,136,93,89,88,66,61,68,106,145
370,142,288,150,199,207,119,244,137,168,345
31.8628,76,120,22.7016,24.3409,28.2343,110,44.3972,16.025,85,125
78,76,111,118,99,197,13,217.717,84,103,187
209.559,113.343,160,149.307,133,173,120,291.997,105.395,135.627,195
256,146,248,150,172,298,201,364,144,175,312
118,97,152,91,117,167,7,90,69,63,173
99,99,158,130.534,120,176,117,255.284,92.1437,115,183
370,142,288,150,199,207,119,244,137,168,345
76,76,132,89,100,90,98,128.069,73,91,144
178,113,216,120,176,235,22,403.478,108,150,232
370,142,288,150,199,207,119,244,137,168,345
99,99,158,110.395,120,176,117,229.73,68.422,115,183
160,111,216,120,175,232,6,522,107,148,227
84,80,135,91,105,72,116,128.069,66,93,141
256,146,248,150,172,298,125,364,144,175,296
76,76,132,89,100,90,98,128.069,73,91,144
178,113,216,120,172,235,22,364,108,150,232
264,147,246,154,172,176,94,305,147,158,300
256,146,248,150,172,298,125,364,144,175,312
264,147,246,154,172,248,111,224,147,182,301
343,156,308,177,228,300,63,365,144,200,279
316,163,294,182,231,347,133,423,156,223,334
409,156,311,177,228,328,63,411,144,200,248
316,160,294,182,231,233,64,423,142,183,249
343,156,308,177,228,300,76,365,144,200,258
418,156,311,177,228,339,63,411,144,212,332
316,163,294,182,231,347,133,423,156,223,334
316,163,294,182,231,313,64,423,142,223,334
