B,G,H,K,L,M,Q,S,T,V,Y
8.03,4.43,8.96,10.46,70.5,11.51,6.54,3.37,12.67,32.38,66.45
4.45,3.56,15.02,1.73,44.61,7.83,11.98,1.21,0.71,42.85,20.48
4.33,5.63,17.01,13.79,15.31,8.24,28.76,0.7,2.97,21.98,27.33
48.68,3.3,3.97,3.3,26.14,13.27,11.7,22.43,3.3,17.45,80.37
0.03,59.57,11.41,11.52,13.69,0.69,11.01,0,35.34,46.76,7.49
0,50.07,13.6,24.28,7.84,2.61,6.42,0.33,8.58,36.28,10.04
3.22,37.19,2.92,17.54,8.79,0,7.78,1.02,26.69,36.83,2.76
11.36,69.86,8.51,23.11,10.8,2.81,15,0,21.94,44.07,22.3
9.15,17.74,3.96,11.05,18.41,4.98,6.03,3.06,49.46,34.89,5.17
12.73,2.51,8.18,51.89,43.18,15.84,15.13,0.28,2.54,57.57,16.29
7.12,3.83,1.83,2.53,15.73,0.25,0.81,0.25,43.8,7.32,3.71
2.62,47.8,4.33,40.98,6.87,9.85,1.95,0,44.31,37.56,9.09
1.25,29.9,2.33,37.51,7.71,0.77,2.94,3.99,47.26,6.62,1.89
21.75,8.92,23.08,26.59,33.96,7.98,26.07,6.08,25.86,19.45,10.71
1.41,52.62,12.2,46.91,18.3,16.82,6.04,3.73,2.6,1.34,19.79
0.72,50.1,8.33,28.89,8.82,13.08,11.91,3.38,3.6,0.95,15.88
3.13,13.42,8.94,74.53,48.99,7.44,14.29,0.79,5.96,69.97,10.96
3.31,66.58,17.69,23.17,59.02,7.37,6.23,0.24,22.09,67.91,10.63
2.26,28.09,5.89,40.76,10.85,0.65,10.77,0,8.23,38.68,6.23
4.53,7.99,12.64,40.45,43.94,11.74,27.79,3.76,9.41,75.33,8.72
0.97,7.52,0.57,5.23,0.64,4.65,0.31,5.13,61.18,9.39,2.21
1.95,56.87,9.67,37.13,36.86,7.65,2.75,0,37.16,7.68,12.27
3.22,6.9,0.32,12.48,4.41,0,9.19,0.28,22.97,7.82,2.17
3.09,59.94,9.75,20.3,6.23,3.06,10.29,0.25,34.1,47.94,6.6
